Date,Open,High,Low,Close,Volume,Market Cap
01-Feb-18,10237.3,10288.8,8812.28,9170.54,9959400000,1.72372E+11
31-Jan-18,10108.2,10381.6,9777.42,10221.1,8041160000,1.70183E+11
30-Jan-18,11306.8,11307.2,10036.2,10106.3,8637860000,1.90339E+11
29-Jan-18,11755.5,11875.6,11179.2,11296.4,7107360000,1.97871E+11
28-Jan-18,11475.3,12040.3,11475.3,11786.3,8350360000,1.93133E+11
27-Jan-18,11174.9,11614.9,10989.2,11440.7,7583270000,1.88054E+11
26-Jan-18,11256,11656.7,10470.3,11171.4,9746200000,1.89398E+11
25-Jan-18,11421.7,11785.7,11057.4,11259.4,8873170000,1.92163E+11
24-Jan-18,10903.4,11501.4,10639.8,11359.4,9940990000,1.83419E+11
23-Jan-18,10944.5,11377.6,10129.7,10868.4,9660610000,1.84087E+11
22-Jan-18,11633.1,11966.4,10240.2,10931.4,10537400000,1.95645E+11
21-Jan-18,12889.2,12895.9,11288.2,11600.1,9935180000,2.1674E+11
20-Jan-18,11656.2,13103,11656.2,12899.2,11801700000,1.95979E+11
19-Jan-18,11429.8,11992.8,11172.1,11607.4,10740400000,1.9215E+11
18-Jan-18,11198.8,12107.3,10942.5,11474.9,15020400000,1.88242E+11
17-Jan-18,11431.1,11678,9402.29,11188.6,18830600000,1.92123E+11
16-Jan-18,13836.1,13843.1,10194.9,11490.5,18853800000,2.32517E+11
15-Jan-18,13767.3,14445.5,13641.7,13819.8,12750800000,2.31334E+11
14-Jan-18,14370.8,14511.8,13268,13772,11084100000,2.41447E+11
13-Jan-18,13952.4,14659.5,13952.4,14360.2,12763600000,2.34391E+11
12-Jan-18,13453.9,14229.9,13158.1,13980.6,12065700000,2.25986E+11
11-Jan-18,14968.2,15018.8,13105.9,13405.8,16534100000,2.51387E+11
10-Jan-18,14588.5,14973.3,13691.2,14973.3,18500800000,2.44981E+11
09-Jan-18,15123.7,15497.5,14424,14595.4,16660000000,2.53935E+11
08-Jan-18,16476.2,16537.9,14208.2,15170.1,18413900000,2.76612E+11
07-Jan-18,17527.3,17579.6,16087.7,16477.6,15866000000,2.94222E+11
06-Jan-18,17462.1,17712.4,16764.6,17527,18314600000,2.93091E+11
05-Jan-18,15477.2,17705.2,15202.8,17429.5,23840900000,2.59748E+11
04-Jan-18,15270.7,15739.7,14522.2,15599.2,21783200000,2.5625E+11
03-Jan-18,14978.2,15572.8,14844.5,15201,16871900000,2.51312E+11
02-Jan-18,13625,15444.6,13163.6,14982.1,16846600000,2.28579E+11
01-Jan-18,14112.2,14112.2,13154.7,13657.2,10291200000,2.36725E+11
31-Dec-17,12897.7,14377.4,12755.6,14156.4,12136300000,2.16326E+11
30-Dec-17,14681.9,14681.9,12350.1,12952.2,14452600000,2.46224E+11
29-Dec-17,14695.8,15279,14307,14656.2,13025500000,2.46428E+11
28-Dec-17,15864.1,15888.4,13937.3,14606.5,12336500000,2.65988E+11
27-Dec-17,16163.5,16930.9,15114.3,15838.5,12487600000,2.70976E+11
26-Dec-17,14036.6,16461.2,14028.9,16099.8,13454300000,2.35294E+11
25-Dec-17,13995.9,14593,13448.9,14026.6,10664700000,2.3459E+11
24-Dec-17,14608.2,14626,12747.7,13925.8,11572300000,2.44824E+11
23-Dec-17,13948.7,15603.2,13828.8,14699.2,13086000000,2.33748E+11
22-Dec-17,15898,15943.4,11833,13831.8,22198000000,2.66381E+11
21-Dec-17,16642.4,17567.7,15342.7,15802.9,16516600000,2.78827E+11
20-Dec-17,17760.3,17934.7,16077.7,16624.6,22149700000,2.97526E+11
19-Dec-17,19118.3,19177.8,17275.4,17776.7,16894500000,3.20242E+11
18-Dec-17,19106.4,19371,18355.9,19114.2,14839500000,3.2E+11
17-Dec-17,19475.8,20089,18974.1,19140.8,13314600000,3.26141E+11
16-Dec-17,17760.3,19716.7,17515.3,19497.4,12740600000,2.97376E+11
15-Dec-17,16601.3,18154.1,16601.3,17706.9,14310000000,2.77936E+11
14-Dec-17,16384.6,17085.8,16185.9,16564,13777400000,2.74269E+11
13-Dec-17,17500,17653.1,16039.7,16408.2,12976900000,2.929E+11
12-Dec-17,16919.8,17781.8,16571.6,17415.4,14603800000,2.83155E+11
11-Dec-17,15427.4,17513.9,15404.8,16936.8,12153900000,2.58147E+11
10-Dec-17,15168.4,15850.6,13226.6,15455.4,13433300000,2.53782E+11
09-Dec-17,16523.3,16783,13674.9,15178.2,13911300000,2.76415E+11
08-Dec-17,17802.9,18353.4,14336.9,16569.4,21136000000,2.97787E+11
07-Dec-17,14266.1,17899.7,14057.3,17899.7,17950700000,2.386E+11
06-Dec-17,11923.4,14369.1,11923.4,14291.5,12656300000,1.9939E+11
