Date,Close,Open,High,Low,Volume,Market Cap
26-Mar-18,489.95,,,,,
25-Mar-18,524.29,,,,,
24-Mar-18,526.44,,,,,
23-Mar-18,539.62,,,,,
22-Mar-18,539.7,,,,,
21-Mar-18,561.73,,,,,
20-Mar-18,557.18,,,,,
19-Mar-18,556.73,,,,,
18-Mar-18,538.64,,,,,
17-Mar-18,552.78,,,,,
16-Mar-18,601.67,,,,,
15-Mar-18,611.3,,,,,
14-Mar-18,614.29,,,,,
13-Mar-18,690.83,,,,,
12-Mar-18,699.83,,,,,
11-Mar-18,723.34,,,,,
10-Mar-18,686.89,,,,,
9-Mar-18,728.92,,,,,
8-Mar-18,704.6,,,,,
7-Mar-18,752.83,,,,,
6-Mar-18,816.95,,,,,
5-Mar-18,853.68,,,,,
4-Mar-18,866.68,,,,,
3-Mar-18,857.23,,,,,
2-Mar-18,856.85,,,,,
1-Mar-18,872.2,,,,,
28-Feb-18,855.2,,,,,
27-Feb-18,878.27,,,,,
26-Feb-18,869.32,,,,,
25-Feb-18,844.81,,,,,
24-Feb-18,840.52,,,,,
23-Feb-18,864.19,,,,,
22-Feb-18,812.85,,,,,
21-Feb-18,849.97,,,,,
20-Feb-18,895.37,,,,,
19-Feb-18,943.87,,,,,
18-Feb-18,923.92,,,,,
17-Feb-18,974.12,,,,,
16-Feb-18,944.21,,,,,
15-Feb-18,936.98,,,,,
14-Feb-18,923.56,,,,,
13-Feb-18,845.26,,,,,
12-Feb-18,868.71,,,,,
11-Feb-18,814.66,,,,,
10-Feb-18,860.42,,,,,
9-Feb-18,883.87,,,,,
8-Feb-18,817.81,,,,,
7-Feb-18,757.07,,,,,
6-Feb-18,793.12,,,,,
5-Feb-18,697.95,,,,,
4-Feb-18,834.68,,,,,
3-Feb-18,964.02,,,,,
2-Feb-18,915.79,,,,,
1-Feb-18,1036.79,,,,,
31-Jan-18,1118.31,,,,,
30-Jan-18,1071.13,,,,,
29-Jan-18,1182.36,,,,,
28-Jan-18,1246.01,,,,,
27-Jan-18,1107.07,,,,,
26-Jan-18,1055.17,,,,,
25-Jan-18,1056.03,,,,,
24-Jan-18,1058.78,,,,,
23-Jan-18,986.23,,,,,
22-Jan-18,1003.26,,,,,
21-Jan-18,1049.58,,,,,
20-Jan-18,1155.15,,,,,
19-Jan-18,1039.1,,,,,
18-Jan-18,1036.28,,,,,
17-Jan-18,1014.25,,,,,
16-Jan-18,1053.69,,,,,
15-Jan-18,1291.92,,,,,
14-Jan-18,1366.77,,,,,
13-Jan-18,1396.42,,,,,
12-Jan-18,1273.2,,,,,
11-Jan-18,1154.93,,,,,
10-Jan-18,1255.82,,,,,
9-Jan-18,1299.74,,,,,
8-Jan-18,1148.53,,,,,
7-Jan-18,1153.17,,,,,
6-Jan-18,1041.68,,,,,
5-Jan-18,997.72,,,,,
4-Jan-18,980.92,,,,,
3-Jan-18,962.72,,,,,
2-Jan-18,884.44,,,,,
1-Jan-18,772.64,,,,,
31-Dec-17,756.73,,,,,
30-Dec-17,717.26,,,,,
29-Dec-17,753.59,,,,,
28-Dec-17,737.02,,,,,
27-Dec-17,762.84,,,,,
26-Dec-17,773.84,,,,,
25-Dec-17,765.83,,,,,
24-Dec-17,694.15,,,,,
23-Dec-17,719.39,,,,,
22-Dec-17,674.86,,,,,
21-Dec-17,821.06,,,,,
20-Dec-17,819.09,,,,,
19-Dec-17,826.82,,,,,
18-Dec-17,794.65,,,,,
17-Dec-17,719.98,,,,,
16-Dec-17,696.21,,,,,
15-Dec-17,684.45,,,,,
14-Dec-17,695.82,,,,,
13-Dec-17,702.77,,,,,
12-Dec-17,651.43,,,,,
11-Dec-17,515.14,,,,,
10-Dec-17,441.72,,,,,
9-Dec-17,473.5,,,,,
8-Dec-17,456.03,,,,,
7-Dec-17,434.41,,,,,
6-Dec-17,428.59,,,,,
5-Dec-17,463.28,,,,,
4-Dec-17,470.2,,,,,
3-Dec-17,465.85,,,,,
2-Dec-17,463.45,,,,,
1-Dec-17,466.54,,,,,
30-Nov-17,447.11,,,,,
29-Nov-17,427.52,,,,,
28-Nov-17,472.9,,,,,
27-Nov-17,480.36,,,,,
26-Nov-17,471.33,,,,,
25-Nov-17,466.28,,,,,
24-Nov-17,474.91,,,,,
23-Nov-17,410.17,,,,,
22-Nov-17,380.65,,,,,
21-Nov-17,360.4,,,,,
20-Nov-17,366.73,,,,,
19-Nov-17,354.39,,,,,
18-Nov-17,347.61,,,,,
17-Nov-17,332.39,,,,,
16-Nov-17,330.92,,,,,
15-Nov-17,333.36,,,,,
14-Nov-17,337.63,,,,,
13-Nov-17,316.72,,,,,
12-Nov-17,307.91,,,,,
11-Nov-17,314.68,,,,,
10-Nov-17,299.25,,,,,
9-Nov-17,320.88,,,,,
8-Nov-17,309.07,,,,,
7-Nov-17,294.66,,,,,
6-Nov-17,298.89,,,,,
5-Nov-17,296.26,,,,,
4-Nov-17,300.47,,,,,
3-Nov-17,305.71,,,,,
2-Nov-17,287.43,,,,,
1-Nov-17,291.69,,,,,
31-Oct-17,305.88,,,,,
30-Oct-17,307.75,,,,,
29-Oct-17,305.09,,,,,
28-Oct-17,296.3,,,,,
27-Oct-17,297.42,,,,,
26-Oct-17,296.53,,,,,
25-Oct-17,297.93,,,,,
24-Oct-17,298.33,,,,,
23-Oct-17,286.95,,,,,
22-Oct-17,295.45,,,,,
21-Oct-17,300.19,,,,,
20-Oct-17,304.01,,,,,
19-Oct-17,308.09,,,,,
18-Oct-17,314.32,,,,,
17-Oct-17,317.08,,,,,
16-Oct-17,333.38,,,,,
15-Oct-17,336.6,,,,,
14-Oct-17,339.63,,,,,
13-Oct-17,338.76,,,,,
12-Oct-17,304.14,,,,,
11-Oct-17,303.46,,,,,
10-Oct-17,299.87,,,,,
9-Oct-17,297.39,,,,,
8-Oct-17,308.61,,,,,
7-Oct-17,311.12,,,,,
6-Oct-17,308.59,,,,,
5-Oct-17,295.86,,,,,
4-Oct-17,292.66,,,,,
3-Oct-17,292.46,,,,,
2-Oct-17,297.48,,,,,
1-Oct-17,302.34,,,,,
30-Sep-17,301.47,,,,,
29-Sep-17,291.47,,,,,
28-Sep-17,299.16,,,,,
27-Sep-17,306.47,,,,,
26-Sep-17,287.44,,,,,
25-Sep-17,292.33,,,,,
24-Sep-17,282.48,,,,,
23-Sep-17,286.17,,,,,
22-Sep-17,264.31,,,,,
21-Sep-17,258.58,,,,,
20-Sep-17,283.74,,,,,
19-Sep-17,282.8,,,,,
18-Sep-17,293.5,,,,,
17-Sep-17,251.75,,,,,
16-Sep-17,246.52,,,,,
15-Sep-17,250.46,,,,,
14-Sep-17,213.91,,,,,
13-Sep-17,277.11,,,,,
12-Sep-17,291.46,,,,,
11-Sep-17,294.53,,,,,
10-Sep-17,288.75,,,,,
9-Sep-17,294.41,,,,,
8-Sep-17,296.5,,,,,
7-Sep-17,329.43,,,,,
6-Sep-17,334.34,,,,,
5-Sep-17,312.99,,,,,
4-Sep-17,295.17,,,,,
3-Sep-17,347.48,,,,,
2-Sep-17,348.98,,,,,
1-Sep-17,387.74,,,,,
31-Aug-17,383.04,,,,,
30-Aug-17,378.49,,,,,
29-Aug-17,370.67,,,,,
28-Aug-17,347.75,,,,,
27-Aug-17,347.89,,,,,
26-Aug-17,333.88,,,,,
25-Aug-17,331.92,,,,,
24-Aug-17,325.61,,,,,
23-Aug-17,317.52,,,,,
22-Aug-17,314.79,,,,,
21-Aug-17,321.59,,,,,
20-Aug-17,301.43,,,,,
19-Aug-17,297.47,,,,,
18-Aug-17,295.59,,,,,
17-Aug-17,301.46,,,,,
16-Aug-17,302.27,,,,,
15-Aug-17,289.82,,,,,
14-Aug-17,300.1,,,,,
13-Aug-17,298.06,,,,,
12-Aug-17,310.6,,,,,
11-Aug-17,308.86,,,,,
10-Aug-17,295.89,,,,,
9-Aug-17,296.03,,,,,
8-Aug-17,296.77,,,,,
7-Aug-17,269.18,,,,,
6-Aug-17,261.57,,,,,
5-Aug-17,256.51,,,,,
4-Aug-17,223.07,,,,,
3-Aug-17,225.34,,,,,
2-Aug-17,219.95,,,,,
1-Aug-17,226.77,,,,,
31-Jul-17,203.87,,,,,
30-Jul-17,197.98,,,,,
29-Jul-17,205.79,,,,,
28-Jul-17,193.12,,,,,
27-Jul-17,204.32,,,,,
26-Jul-17,203.95,,,,,
25-Jul-17,206.71,,,,,
24-Jul-17,224.71,,,,,
23-Jul-17,225.95,,,,,
22-Jul-17,229.48,,,,,
21-Jul-17,218.31,,,,,
20-Jul-17,227.27,,,,,
19-Jul-17,199.7,,,,,
18-Jul-17,234.39,,,,,
17-Jul-17,193.42,,,,,
16-Jul-17,157.36,,,,,
15-Jul-17,170.66,,,,,
14-Jul-17,199.66,,,,,
13-Jul-17,209.73,,,,,
12-Jul-17,230.77,,,,,
11-Jul-17,197.4,,,,,
10-Jul-17,215.36,,,,,
9-Jul-17,242.14,,,,,
8-Jul-17,251.7,,,,,
7-Jul-17,245.99,,,,,
6-Jul-17,270.55,,,,,
5-Jul-17,268.77,,,,,
4-Jul-17,273.3,,,,,
3-Jul-17,282.9,,,,,
2-Jul-17,287.99,,,,,
1-Jul-17,274.6,,,,,
30-Jun-17,294.92,,,,,
29-Jun-17,302.88,,,,,
28-Jun-17,327.93,,,,,
27-Jun-17,293.09,,,,,
26-Jun-17,272.69,,,,,
25-Jun-17,303.25,,,,,
24-Jun-17,323.7,,,,,
23-Jun-17,341.74,,,,,
22-Jun-17,336.37,,,,,
21-Jun-17,336.87,,,,,
20-Jun-17,359.01,,,,,
19-Jun-17,370.06,,,,,
18-Jun-17,371.46,,,,,
17-Jun-17,379.41,,,,,
16-Jun-17,370.23,,,,,
15-Jun-17,361.93,,,,,
14-Jun-17,359.05,,,,,
13-Jun-17,397.54,,,,,
12-Jun-17,401.49,,,,,
11-Jun-17,340.61,,,,,
10-Jun-17,337.67,,,,,
9-Jun-17,281.74,,,,,
8-Jun-17,261.67,,,,,
7-Jun-17,258.07,,,,,
6-Jun-17,264.47,,,,,
5-Jun-17,248.46,,,,,
4-Jun-17,245.33,,,,,
3-Jun-17,224.38,,,,,
2-Jun-17,223.78,,,,,
1-Jun-17,222.24,,,,,
31-May-17,230.67,,,,,
30-May-17,231.91,,,,,
29-May-17,194.91,,,,,
28-May-17,170.51,,,,,
27-May-17,157.76,,,,,
26-May-17,160.4,,,,,
25-May-17,174.45,,,,,
24-May-17,190.05,,,,,
23-May-17,181.95,,,,,
22-May-17,174.26,,,,,
21-May-17,157.94,,,,,
20-May-17,126.52,,,,,
19-May-17,129.53,,,,,
18-May-17,96.91,,,,,
17-May-17,89.86,,,,,
16-May-17,89.44,,,,,
15-May-17,92.41,,,,,
14-May-17,90.79,,,,,
13-May-17,90.84,,,,,
12-May-17,88.66,,,,,
11-May-17,89.88,,,,,
10-May-17,89.52,,,,,
9-May-17,91.16,,,,,
8-May-17,91.42,,,,,
7-May-17,94.01,,,,,
6-May-17,97.81,,,,,
5-May-17,94.4,,,,,
4-May-17,96.98,,,,,
3-May-17,79.72,,,,,
2-May-17,77.26,,,,,
1-May-17,76.3,,,,,
30-Apr-17,79.02,,,,,
29-Apr-17,68.38,,,,,
28-Apr-17,70.16,,,,,
27-Apr-17,62.17,,,,,
26-Apr-17,52.72,,,,,
25-Apr-17,49.89,,,,,
24-Apr-17,50.03,,,,,
23-Apr-17,48.49,,,,,
22-Apr-17,48.55,,,,,
21-Apr-17,48.22,,,,,
20-Apr-17,49.67,,,,,
19-Apr-17,48.31,,,,,
18-Apr-17,50.71,,,,,
17-Apr-17,48.3,,,,,
16-Apr-17,48.72,,,,,
15-Apr-17,49.1,,,,,
14-Apr-17,47.57,,,,,
13-Apr-17,50.22,,,,,
12-Apr-17,46.29,,,,,
11-Apr-17,43.41,,,,,
10-Apr-17,43.44,,,,,
9-Apr-17,43.27,,,,,
8-Apr-17,44.31,,,,,
7-Apr-17,42.16,,,,,
6-Apr-17,43.24,,,,,
5-Apr-17,45.3,,,,,
4-Apr-17,44.64,,,,,
3-Apr-17,44.36,,,,,
2-Apr-17,48.75,,,,,
1-Apr-17,50.7,,,,,
